Jm+Bp,Ti+Sl,Tc,Hs,Mf,Pl,Pi,Am,Ai,Ea,Tq,Mp,Calc,Rs,Ab,As,Ts,Ad,TO,PH,TG,Tt,Ph
135,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,16,13,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,15,18,11,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,15,25,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,5,14,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4,6,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,31,2,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,5,3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,21,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,7,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,7,12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,18,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,18,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,58,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,88,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,72,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,59,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,57,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,61,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,98,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,93,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,91,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,116,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,33,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
